colour	x	y	label	key	clickSelects	showSelected1	PANEL	group
#8DD3C7	15	7577	Berri	Berri	Berri	Berri	2	1
#8DD3C7	3	7212	Berri	Berri	Berri	Berri	2	1
#8DD3C7	22	7029	Berri	Berri	Berri	Berri	2	1
#8DD3C7	13	7020	Berri	Berri	Berri	Berri	2	1
#8DD3C7	2	5639	Berri	Berri	Berri	Berri	2	1
#8DD3C7	1	2905	Berri	Berri	Berri	Berri	2	1
#BEBADA	23	506	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	22	510	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	21	2058	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	19	2510	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	30	3222	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	14	3478	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	3	3134	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	29	3592	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	12	3624	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	2	3025	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	1	1708	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#80B1D3	10	738	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	23	793	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	21	2393	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	19	3735	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	30	5306	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	15	5499	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	5	5330	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	22	5013	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	13	4869	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	2	3781	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	5	2205	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FDB462	10	1063	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	16	1069	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	21	4010	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	19	5811	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	30	8132	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	7	8722	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	5	8264	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	22	7565	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	13	8014	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	2	6345	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	5	3721	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FB8072	10	775	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	23	829	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	21	2725	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	19	3377	du Parc	du Parc	du Parc	du Parc	2	4
