colour	x	y	group	clickSelects	showSelected1	PANEL
#80B1D3	1255539600	720.5	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1258218000	817.566666666667	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1260810000	171.935483870968	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1263488400	109.516129032258	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1266166800	147.607142857143	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1268586000	583.129032258065	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1271264400	1411.13333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1273856400	2566.22580645161	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1276534800	3026.53333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1279126800	3006.51612903226	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1281805200	2289.8	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1287075600	1482.45833333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1289754000	1021.7	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1292346000	142.548387096774	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1295024400	115.516129032258	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1297702800	101.214285714286	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1300122000	210.645161290323	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1302800400	1025.63333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1305392400	2308.16129032258	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1308070800	3598.83333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1310662800	3375.74193548387	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1313341200	3046.70967741935	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1316019600	3021.7	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1318611600	1894.96774193548	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1321290000	2148	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1326560400	106.709677419355	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1329238800	157.689655172414	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1331744400	586.903225806452	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1334422800	1643.73333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1337014800	3039.48387096774	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1339693200	3173.76666666667	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1342285200	3289.32258064516	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1344963600	3068.06451612903	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1347642000	2784.66666666667	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1350234000	2050.03225806452	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1352912400	1167.4	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1358182800	121.709677419355	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1360861200	146.535714285714	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1363280400	320.161290322581	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1365958800	1396.23333333333	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1368550800	2947.16129032258	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1371229200	2731.86666666667	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1373821200	2961.38709677419	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1376499600	2806.03225806452	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1379178000	2607.5	5	Maisonneuve 1	Maisonneuve 1	2
#FDB462	1244998800	3591.30434782609	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1247590800	3944.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1250269200	3919.67741935484	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1252947600	4445.5	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1255539600	2535.45161290323	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1258218000	2050.76666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1260810000	456.161290322581	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1263488400	301.774193548387	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1266166800	344.821428571429	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1268586000	1270.09677419355	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1271264400	2718.26666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1273856400	4613.87096774194	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1276534800	4868.9	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1279126800	5217.8064516129	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1281805200	4910.1935483871	6	Maisonneuve 2	Maisonneuve 2	2
